,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
95,U554,ses0,1,0,ReturnToBase1,756615,757115,15,8,C Hall,SE,1,1,1.0,['rubyHeart0002'],,,,,
96,U554,ses0,1,0,ReturnToBase1,757115,757615,16,9,S Passage,S,1,1,0.0,,,,,,
97,U554,ses0,1,0,ReturnToBase1,757615,758115,17,9,S Passage,S,1,1,0.0,,,,,,
98,U554,ses0,1,0,ReturnToBase1,758115,758615,18,10,S Passage,S,1,1,0.0,,,,,,
99,U554,ses0,1,0,Delay2,782698,783198,0,1,Base,N,0,1,,,,,,,
100,U554,ses0,1,0,Delay2,783198,783698,1,1,Base,N,0,1,,,,,,,
101,U554,ses0,1,0,Delay2,783698,784198,2,2,Base,N,0,1,,,,,,,
102,U554,ses0,1,0,Delay2,784198,784698,3,2,Base,N,0,1,,,,,,,
103,U554,ses0,1,0,Delay2,784698,785198,4,3,Base,N,0,1,,,,,,,
104,U554,ses0,1,0,Delay2,785198,785698,5,3,Base,N,0,1,,,,,,,
105,U554,ses0,1,0,Delay2,785698,786198,6,4,Base,N,0,1,,,,,,,
106,U554,ses0,1,0,Delay2,786198,786698,7,4,Base,N,0,1,,,,,,,
107,U554,ses0,1,0,Delay2,786698,787198,8,5,Base,N,0,1,,,,,,,
108,U554,ses0,1,0,Delay2,787198,787698,9,5,Base,N,0,1,,,,,,,
109,U554,ses0,1,0,Delay2,787698,788198,10,6,Base,N,0,1,,,,,,,
110,U554,ses0,1,0,Delay2,788198,788698,11,6,Base,N,0,1,,,,,,,
111,U554,ses0,1,0,Delay2,788698,789198,12,7,Base,N,0,1,,,,,,,
112,U554,ses0,1,0,Delay2,789198,789698,13,7,Base,N,0,1,,,,,,,
113,U554,ses0,1,0,Delay2,789698,790198,14,8,Base,N,0,1,,,,,,,
114,U554,ses0,1,0,Delay2,790198,790698,15,8,Base,N,0,1,,,,,,,
115,U554,ses0,1,0,Delay2,790698,791198,16,9,Base,N,0,1,,,,,,,
116,U554,ses0,1,0,Delay2,791198,791698,17,9,Base,N,0,1,,,,,,,
117,U554,ses0,1,0,Delay2,791698,792198,18,10,Base,N,0,1,,,,,,,
118,U554,ses0,1,0,Delay2,792198,792698,19,10,Base,N,0,1,,,,,,,
119,U554,ses0,1,0,Retrieval,792714,793214,0,1,Base,N,0,1,0.0,,0.0,,,,
120,U554,ses0,1,0,Retrieval,793214,793714,1,1,Base,N,0,1,0.0,,0.0,,,,
121,U554,ses0,1,0,Retrieval,793714,794214,2,1,Base,N,1,1,0.0,,0.0,,,,
122,U554,ses0,1,0,Retrieval,794214,794714,3,1,Base,NE,1,1,0.0,,0.0,,,,
123,U554,ses0,1,0,Retrieval,794714,795214,4,1,Base,NE,1,1,0.0,,0.0,,,,
124,U554,ses0,1,0,Retrieval,795214,795714,5,1,Base,E,1,1,0.0,,0.0,,,,
125,U554,ses0,1,0,Retrieval,795714,796214,6,2,Base,E,1,1,0.0,,0.0,,,,
126,U554,ses0,1,0,Retrieval,796214,796714,7,2,Base,E,1,1,0.0,,0.0,,,,
127,U554,ses0,1,0,Retrieval,796714,797214,8,2,Base,E,1,0,0.0,,0.0,,,,
128,U554,ses0,1,0,Retrieval,797214,797714,9,2,SE Hall,E,1,0,0.0,,0.0,,,,
129,U554,ses0,1,0,Retrieval,797714,798214,10,2,SE Hall,NE,1,0,0.0,,0.0,,,,
130,U554,ses0,1,0,Retrieval,798214,798714,11,2,SE Hall,NE,1,0,0.0,,0.0,,,,
131,U554,ses0,1,0,Retrieval,798714,799214,12,3,SE Hall,N,1,0,1.0,['rubyHeart0002'],0.0,,,,
132,U554,ses0,1,0,Retrieval,799214,799714,13,3,SE Hall,N,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",0.0,,,,
133,U554,ses0,1,0,Retrieval,799714,800214,14,3,SE Room,NW,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",0.0,,,,
134,U554,ses0,1,0,Retrieval,800214,800714,15,3,SE Room,NW,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",0.0,,,,
135,U554,ses0,1,0,Retrieval,800714,801214,16,3,SE Room,W,1,0,1.0,"['amethystTorus0003', 'rubyHeart0002']",1.0,1.0,[1],['amethystTorus0003'],[1.29479408]
136,U554,ses0,1,0,Retrieval,801214,801714,17,3,SE Room,W,1,0,1.0,['rubyHeart0002'],0.0,,,,
137,U554,ses0,1,0,Retrieval,801714,802214,18,4,SE Room,W,1,0,1.0,['rubyHeart0002'],0.0,,,,
138,U554,ses0,1,0,Retrieval,802214,802714,19,4,SE Room,W,1,0,1.0,['rubyHeart0002'],0.0,,,,
139,U554,ses0,1,0,Retrieval,802714,803214,20,4,SE Room,NW,1,0,1.0,['rubyHeart0002'],0.0,,,,
140,U554,ses0,1,0,Retrieval,803214,803714,21,4,SE Room,NW,1,0,1.0,['rubyHeart0002'],0.0,,,,
