,trial,gameState,45-1
584,4,Encoding,0
585,4,Encoding,0
586,4,Encoding,0
587,4,Encoding,0
588,4,Encoding,0
589,4,Encoding,0
590,4,Encoding,0
591,4,Encoding,0
592,4,Encoding,0
593,4,Encoding,0
594,4,Encoding,1
595,4,Encoding,1
596,4,Encoding,0
597,4,Encoding,0
598,4,Encoding,1
599,4,Encoding,0
600,4,Encoding,0
601,4,Encoding,0
602,4,Encoding,1
603,4,Encoding,0
604,4,Encoding,0
605,4,Encoding,0
606,4,Encoding,0
607,4,Encoding,0
608,4,Encoding,0
609,4,Encoding,1
610,4,Encoding,0
611,4,Encoding,0
612,4,Encoding,0
613,4,Encoding,0
614,4,Encoding,0
615,4,Encoding,1
616,4,Encoding,0
617,4,Encoding,0
618,4,Encoding,0
619,4,Encoding,1
620,4,Encoding,0
621,4,Encoding,0
622,4,Encoding,1
623,4,Encoding,0
624,4,Delay2,0
625,4,Delay2,0
626,4,Delay2,0
627,4,Delay2,0
628,4,Delay2,0
629,4,Delay2,0
630,4,Delay2,0
631,4,Delay2,0
632,4,Delay2,1
633,4,Delay2,0
634,4,Delay2,0
635,4,Delay2,0
636,4,Delay2,0
637,4,Delay2,1
638,4,Delay2,0
639,4,Delay2,2
640,4,Delay2,0
641,4,Delay2,3
642,4,Delay2,1
643,4,Delay2,0
644,4,Retrieval,0
645,4,Retrieval,0
646,4,Retrieval,0
647,4,Retrieval,1
648,4,Retrieval,1
649,4,Retrieval,2
650,4,Retrieval,1
651,4,Retrieval,0
652,4,Retrieval,0
653,4,Retrieval,0
654,4,Retrieval,0
655,4,Retrieval,0
656,4,Retrieval,0
657,4,Retrieval,0
658,4,Retrieval,0
659,4,Retrieval,0
660,4,Retrieval,0
661,4,Retrieval,0
662,4,Retrieval,2
663,4,Retrieval,2
664,4,Retrieval,1
665,4,Retrieval,0
666,4,Retrieval,0
667,4,Retrieval,0
668,4,Retrieval,1
669,4,Retrieval,0
670,4,Retrieval,0
671,4,Retrieval,0
672,4,Retrieval,2
673,4,Retrieval,0
674,4,Retrieval,1
675,4,Retrieval,1
676,4,Retrieval,0
677,4,Retrieval,0
678,4,Retrieval,0
679,4,Retrieval,1
680,4,Retrieval,1
681,4,Retrieval,2
682,4,Retrieval,0
683,4,Retrieval,0
684,4,Retrieval,0
685,4,Retrieval,0
686,4,Retrieval,0
687,4,Retrieval,2
688,4,Retrieval,0
689,4,Retrieval,0
690,4,Retrieval,0
691,4,Retrieval,1
692,4,Retrieval,0
693,4,Retrieval,0
694,4,Retrieval,0
695,4,Retrieval,0
696,4,Retrieval,1
697,4,Retrieval,0
698,4,Retrieval,0
699,4,Retrieval,0
700,4,Retrieval,0
701,4,Retrieval,1
702,4,Retrieval,0
703,4,Retrieval,0
712,5,Delay1,1
713,5,Delay1,0
714,5,Delay1,0
715,5,Delay1,0
716,5,Delay1,0
717,5,Delay1,0
718,5,Delay1,0
719,5,Delay1,0
720,5,Delay1,0
721,5,Delay1,0
722,5,Delay1,0
723,5,Delay1,2
724,5,Delay1,1
725,5,Delay1,0
726,5,Delay1,0
727,5,Delay1,1
728,5,Delay1,0
729,5,Delay1,0
730,5,Delay1,0
731,5,Delay1,0
732,5,Encoding,0
733,5,Encoding,0
734,5,Encoding,0
735,5,Encoding,1
736,5,Encoding,1
737,5,Encoding,0
738,5,Encoding,0
739,5,Encoding,0
740,5,Encoding,0
741,5,Encoding,0
742,5,Encoding,0
743,5,Encoding,0
744,5,Encoding,0
745,5,Encoding,0
746,5,Encoding,0
747,5,Encoding,0
748,5,Encoding,0
749,5,Encoding,0
750,5,Encoding,0
751,5,Encoding,3
752,5,Encoding,0
753,5,Encoding,1
754,5,Encoding,0
755,5,Encoding,0
756,5,Encoding,1
757,5,Encoding,1
758,5,Encoding,0
759,5,Encoding,0
760,5,Encoding,0
761,5,Encoding,0
762,5,Encoding,1
763,5,Encoding,0
764,5,Encoding,0
765,5,Encoding,0
766,5,Encoding,1
767,5,Encoding,0
768,5,Encoding,0
769,5,Encoding,1
770,5,Encoding,0
771,5,Encoding,0
772,5,Encoding,0
773,5,Encoding,0
774,5,Encoding,0
775,5,Encoding,0
776,5,Encoding,0
777,5,Encoding,0
778,5,Encoding,0
779,5,Encoding,1
780,5,Encoding,0
781,5,Encoding,1
782,5,Encoding,0
783,5,Encoding,0
784,5,Encoding,0
785,5,Encoding,0
786,5,Encoding,0
787,5,Encoding,0
788,5,Encoding,0
789,5,Encoding,0
790,5,Encoding,0
791,5,Encoding,0
792,5,Delay2,0
793,5,Delay2,1
794,5,Delay2,0
795,5,Delay2,0
796,5,Delay2,0
797,5,Delay2,0
798,5,Delay2,1
799,5,Delay2,0
800,5,Delay2,0
801,5,Delay2,0
802,5,Delay2,1
803,5,Delay2,2
804,5,Delay2,4
805,5,Delay2,0
806,5,Delay2,0
807,5,Delay2,1
808,5,Delay2,1
809,5,Delay2,0
810,5,Delay2,0
811,5,Delay2,1
812,5,Retrieval,1
813,5,Retrieval,0
814,5,Retrieval,1
815,5,Retrieval,0
816,5,Retrieval,0
817,5,Retrieval,1
818,5,Retrieval,0
819,5,Retrieval,0
820,5,Retrieval,0
821,5,Retrieval,0
822,5,Retrieval,1
823,5,Retrieval,1
824,5,Retrieval,0
825,5,Retrieval,0
826,5,Retrieval,1
827,5,Retrieval,0
828,5,Retrieval,0
829,5,Retrieval,0
830,5,Retrieval,0
831,5,Retrieval,0
832,5,Retrieval,0
833,5,Retrieval,0
834,5,Retrieval,0
835,5,Retrieval,0
836,5,Retrieval,0
837,5,Retrieval,0
838,5,Retrieval,0
839,5,Retrieval,2
840,5,Retrieval,1
841,5,Retrieval,1
842,5,Retrieval,2
843,5,Retrieval,1
844,5,Retrieval,0
845,5,Retrieval,1
846,5,Retrieval,0
847,5,Retrieval,2
848,5,Retrieval,1
849,5,Retrieval,0
850,5,Retrieval,0
851,5,Retrieval,1
852,5,Retrieval,1
853,5,Retrieval,0
854,5,Retrieval,0
855,5,Retrieval,0
856,5,Retrieval,0
857,5,Retrieval,0
858,5,Retrieval,0
859,5,Retrieval,0
860,5,Retrieval,0
861,5,Retrieval,0
862,5,Retrieval,0
863,5,Retrieval,2
864,5,Retrieval,0
865,5,Retrieval,0
866,5,Retrieval,0
867,5,Retrieval,0
868,5,Retrieval,0
869,5,Retrieval,0
870,5,Retrieval,0
871,5,Retrieval,0
885,6,Delay1,2
886,6,Delay1,0
887,6,Delay1,2
888,6,Delay1,1
889,6,Delay1,0
890,6,Delay1,0
891,6,Delay1,0
892,6,Delay1,0
893,6,Delay1,0
894,6,Delay1,0
895,6,Delay1,0
896,6,Delay1,1
897,6,Delay1,0
898,6,Delay1,0
899,6,Delay1,0
900,6,Delay1,0
901,6,Delay1,0
902,6,Delay1,0
